KWIATKOWSKI_JOEL,	18,	301,	0,	5,	0,	24,	33,	45,	0.0,	50.0,	1.99,	3.19,	6.90,	90.53,	2.41,	3.02,	44.4,	2.61,	2.56,	24.2,	34.6,	41.3,	-1;
LASHOFF_MATT,	18,	244,	1,	4,	1,	11,	17,	30,	14.3,	57.1,	1.72,	1.72,	5.98,	94.57,	2.47,	2.35,	51.2,	2.51,	2.76,	38.5,	30.5,	31.0,	-1;
LEBDA_BRETT,	78,	1285,	3,	11,	6,	110,	160,	224,	7.3,	26.8,	1.91,	1.68,	6.05,	92.52,	2.91,	2.23,	56.6,	2.51,	2.63,	40.6,	20.3,	39.1,	-1;
LEE_BRIAN,	6,	100,	0,	1,	0,	6,	9,	13,	0.0,	20.0,	2.97,	2.97,	9.62,	88.89,	3.18,	2.75,	53.7,	2.72,	2.51,	27.7,	30.9,	41.5,	-1;
LEOPOLD_JORDAN,	43,	687,	5,	8,	2,	35,	51,	73,	16.7,	26.7,	2.62,	2.01,	7.98,	92.04,	2.68,	2.56,	51.2,	2.58,	2.57,	35.6,	28.3,	36.0,	-1;
LEPISTO_SAMI,	7,	93,	0,	1,	0,	8,	10,	20,	0.0,	50.0,	1.29,	1.94,	4.26,	92.68,	2.94,	2.57,	53.3,	2.52,	2.67,	39.3,	25.8,	34.8,	-1;
LETANG_KRIS,	63,	1143,	6,	13,	2,	68,	106,	157,	11.3,	24.5,	2.78,	2.10,	9.55,	92.69,	2.87,	2.58,	52.7,	2.54,	2.65,	35.6,	27.1,	37.3,	-1;
LIDSTROM_NICKLAS,	76,	2030,	10,	60,	26,	188,	277,	388,	7.2,	43.5,	4.08,	2.25,	11.03,	90.79,	2.68,	2.18,	55.1,	2.81,	2.56,	35.0,	26.6,	38.4,	1;
LILES_JOHN-MICHAEL,	81,	1593,	6,	26,	10,	163,	221,	314,	6.5,	28.3,	3.46,	2.07,	10.10,	90.11,	2.59,	2.67,	49.2,	2.48,	2.56,	45.3,	18.8,	36.0,	-1;
LILJA_ANDREAS,	79,	1440,	2,	11,	6,	72,	99,	133,	4.4,	24.4,	1.87,	2.92,	6.63,	88.16,	3.13,	1.77,	63.9,	2.69,	2.58,	30.4,	29.4,	40.2,	-1;
LUKOWICH_BRAD,	59,	979,	1,	6,	2,	28,	41,	70,	4.3,	26.1,	1.41,	3.55,	6.22,	88.21,	2.74,	2.85,	49.1,	2.70,	2.63,	26.4,	34.1,	39.5,	-1;
LUNDIN_MIKE,	81,	1117,	0,	7,	2,	33,	51,	91,	0.0,	17.1,	2.20,	2.31,	8.17,	92.27,	2.52,	3.21,	44.0,	2.61,	2.63,	29.1,	31.1,	39.8,	-1;
LYDMAN_TONI,	82,	1778,	4,	22,	7,	86,	118,	177,	5.6,	30.6,	2.43,	3.31,	9.11,	89.41,	3.44,	2.48,	58.1,	2.94,	2.63,	24.3,	35.8,	39.9,	-1;
